date,ticker,state,mom_1,mom_3,mom_6,mom_12_1,mom_12_7,consistency,market_prior_drawdown,forward_alpha_3m,forward_alpha_6m,forward_alpha_12m
1994-02-28,XLK,NEUTRAL,,,,,,0.0,-0.02916419759926492,,,
1994-02-28,XLF,NEUTRAL,,,,,,0.0,-0.02916419759926492,,,
1994-02-28,XLI,NEUTRAL,,,,,,0.0,-0.02916419759926492,,,
1994-02-28,XLE,NEUTRAL,,,,,,0.0,-0.02916419759926492,,,
1994-02-28,XLB,NEUTRAL,,,,,,0.0,-0.02916419759926492,,,
1994-02-28,XLY,NEUTRAL,,,,,,0.0,-0.02916419759926492,,,
1994-02-28,XLP,NEUTRAL,,,,,,0.0,-0.02916419759926492,,,
1994-02-28,XLV,NEUTRAL,,,,,,0.0,-0.02916419759926492,,,
1994-02-28,XLU,NEUTRAL,,,,,,0.0,-0.02916419759926492,,,
1994-02-28,XLRE,NEUTRAL,,,,,,0.0,-0.02916419759926492,,,
1994-02-28,XLC,NEUTRAL,,,,,,0.0,-0.02916419759926492,,,
1994-03-31,XLK,NEUTRAL,,,,,,0.0,-0.06984376463335507,,,
1994-03-31,XLF,NEUTRAL,,,,,,0.0,-0.06984376463335507,,,
1994-03-31,XLI,NEUTRAL,,,,,,0.0,-0.06984376463335507,,,
1994-03-31,XLE,NEUTRAL,,,,,,0.0,-0.06984376463335507,,,
1994-03-31,XLB,NEUTRAL,,,,,,0.0,-0.06984376463335507,,,
1994-03-31,XLY,NEUTRAL,,,,,,0.0,-0.06984376463335507,,,
1994-03-31,XLP,NEUTRAL,,,,,,0.0,-0.06984376463335507,,,
1994-03-31,XLV,NEUTRAL,,,,,,0.0,-0.06984376463335507,,,
1994-03-31,XLU,NEUTRAL,,,,,,0.0,-0.06984376463335507,,,
1994-03-31,XLRE,NEUTRAL,,,,,,0.0,-0.06984376463335507,,,
1994-03-31,XLC,NEUTRAL,,,,,,0.0,-0.06984376463335507,,,
1994-04-30,XLK,NEUTRAL,,,,,,0.0,-0.06984376463335507,,,
1994-04-30,XLF,NEUTRAL,,,,,,0.0,-0.06984376463335507,,,
1994-04-30,XLI,NEUTRAL,,,,,,0.0,-0.06984376463335507,,,
1994-04-30,XLE,NEUTRAL,,,,,,0.0,-0.06984376463335507,,,
1994-04-30,XLB,NEUTRAL,,,,,,0.0,-0.06984376463335507,,,
1994-04-30,XLY,NEUTRAL,,,,,,0.0,-0.06984376463335507,,,
1994-04-30,XLP,NEUTRAL,,,,,,0.0,-0.06984376463335507,,,
